rare_species_id,eol_content_id,eol_page_id,kingdom,phylum,family,file_path
8ca7d358-853e-4e40-93cb-52f6a2454a57,21985147,2920193,animalia,chordata,ranidae,chordata_ranidae/21985147_2920193_eol-full-size-copy.jpg
debd84ae-8531-497d-80b1-0024069fd6f3,14130545,332433,animalia,chordata,bufonidae,chordata_bufonidae/14130545_332433_eol-full-size-copy.jpg
3ffe288d-ac92-4f89-8e0e-e2875cc9617c,21699220,45276518,animalia,cnidaria,agariciidae,cnidaria_agariciidae/21699220_45276518_eol-full-size-copy.jpg
f939591e-5f68-46d9-b02b-4f3143f365f6,29652508,46560148,animalia,chordata,hexanchidae,chordata_hexanchidae/29652508_46560148_eol-full-size-copy.jpg
491cb8c8-43b5-42c5-b49d-d3fa1f9f7a7b,29538706,793083,animalia,chordata,geoemydidae,chordata_geoemydidae/29538706_793083_eol-full-size-copy.jpg
288418a9-e1d7-40cb-b599-bf5293625b16,15265090,308403,animalia,chordata,cervidae,chordata_cervidae/15265090_308403_eol-full-size-copy.jpg
05f601ce-23fd-411f-b086-4e4a7da73704,28175522,1038643,animalia,chordata,hylobatidae,chordata_hylobatidae/28175522_1038643_eol-full-size-copy.jpg
eb05fe3d-a7f2-4dd7-94d4-914ee89446b1,28312603,915363,animalia,chordata,mesitornithidae,chordata_mesitornithidae/28312603_915363_eol-full-size-copy.jpg
bab4bf97-67c2-4d8f-b261-8730384c22b3,21866390,46580005,animalia,chordata,sparidae,chordata_sparidae/21866390_46580005_eol-full-size-copy.jpg
42c2a32e-cfc1-4562-8c29-3dc3e134bbda,29369457,460290,animalia,arthropoda,formicidae,arthropoda_formicidae/29369457_460290_eol-full-size-copy.jpg
5be58e17-aee1-471e-83c1-402c9f930a7c,21756543,46559441,animalia,chordata,balaenopteridae,chordata_balaenopteridae/21756543_46559441_eol-full-size-copy.jpg
a629ccce-bda5-486a-a39f-b805ec70fd52,21566265,449459,animalia,mollusca,unionidae,mollusca_unionidae/21566265_449459_eol-full-size-copy.jpg
f4de9f71-3013-4dcb-a071-f22de2c8e163,30059167,328029,animalia,chordata,mustelidae,chordata_mustelidae/30059167_328029_eol-full-size-copy.jpg
